Designator;X;Y;ANGLE;B/T
U1;5610;6.104.998;0;TOP
R24;5165;6030;90;BOT
R23;5110;6150;360;BOT
R22;5855;6135;270;TOP
R21;5725;5580;90;TOP
R20;5720;6230;360;BOT
R19;5855;6230;180;BOT
R18;5605;5480;90;TOP
R17;5645;5585;270;TOP
R16;5605;5550;90;TOP
R15;5.449.291;5585;180;TOP
R14;5.939.673;5346.4;360;TOP
R13;5385;5555;90;TOP
R12;5320;5650;360;TOP
R11;5.627.574;5.981.737;180;TOP
R10;5655;5220;270;BOT
R9;5625;5895;180;TOP
R8;5.308.268;5750;360;TOP
R7;5.939.673;5271.4;180;TOP
R6;5.308.268;5790;360;TOP
R5;5565;5945;90;TOP
R4;5530;5945;270;TOP
R3;5545;6000;0;TOP
R2;5.307.559;5715;360;TOP
R1;5.307.559;5825;360;TOP
Q2;6.044.673;5306.4;360;TOP
Q1;5.834.673;5306.4;180;TOP
P2;5.890.591;5665;90;TOP
P1;5910;5.139.409;360;TOP
J2;5.135.945;6.115.394;270;TOP
D2;5.906.467;6125.47;90;TOP
D1;5510;5455;360;TOP
C23;5075;6020;90;BOT
C22;5745;5520;180;TOP
C21;5.314.291;6245;360;TOP
C20;5.314.291;6195;180;TOP
C19;5445;5535;180;TOP
C18;5920;5215;90;BOT
C17;6025;5215;90;BOT
C16;5820;5210;90;BOT
C15;5.534;5575;180;TOP
C14;5.765;5.838;360;TOP
C13;5.766;5.888;360;TOP
C12;5575;5220;90;BOT
C11;5.626;5938.47;360;TOP
C10;5.765;5.938;180;TOP
C9;5390;5705;270;TOP
C8;5455;5855;270;TOP
C7;5405;5855;90;TOP
C6;5730;6.124.998;90;TOP
C5;5445;6.124.998;90;TOP
C4;5395;6.124.998;90;TOP
C3;5345;6.124.998;90;TOP
C2;5295;6.124.998;90;TOP
C1;5495;6.124.998;90;TOP
AD1;5585;5755;0;TOP
1;5.138.976;5.687.165;270;TOP
J1;5332.52;5220;360;TOP
R25;5710;5780;90;TOP
